PRCP       002020 19100801 20101130 MOOLA BULLA                                 
19890501 19890531     3.4
19890601 19890630     0.0
19890701 19890731     0.0
19890801 19890831     0.0
19890901 19890930     2.8
19891001 19891031     0.0
19891101 19891130     7.5
19891201 19891231    24.8
19900101 19900131   125.0
19900201 19900228    93.8
19900301 19900331    39.4
19900401 19900430     7.6
19900501 19900531     5.7
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130    45.7
19901201 19901231   212.6
19910101 19910131   315.9
19910201 19910228   288.1
19910301 19910331    11.0
19910401 19910430     5.0
19910501 19910531     0.0
19910601 19910630     8.0
19910701 19910731     8.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    29.5
19911201 19911231    44.5
19920101 19920131    78.5
19920201 19920229    58.0
19920301 19920331    45.0
19920401 19920430     5.0
19920501 19920531    37.5
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     0.0
19921001 19921031     0.0
19921101 19921130     0.0
19921201 19921231     0.0
19930101 19930131   395.0
19930201 19930228   487.0
19930301 19930331     0.0
19930401 19930430     0.0
19930501 19930531    11.0
19930601 19930630    50.0
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130    51.0
19931201 19931231    75.0
19940101 19940131   108.0
19940201 19940228   243.0
19940301 19940331    21.0
19940401 19940430     0.0
19940501 19940531     1.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130    44.0
19941201 19941231   192.0
19950101 19950131   170.5
19950201 19950228   215.5
19950301 19950331   110.0
19950401 19950430     7.5
19950501 19950531     8.5
19950601 19950630     0.0
19950701 19950731     7.0
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     1.0
19951101 19951130    15.0
19951201 19951231    89.5
19960101 19960131    94.5
19960201 19960229   112.0
19960301 19960331   277.0
19960401 19960430    44.5
19960501 19960531     3.0
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    11.7
19961101 19961130    23.0
19961201 19961231   166.0
19970101 19970131   304.9
19970201 19970228   263.7
19970301 19970331    20.5
19970401 19970430     0.0
19970501 19970531    80.9
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     9.4
19971001 19971031    36.6
19971101 19971130    23.4
19971201 19971231   118.9
19980101 19980131    88.0
19980201 19980228    63.1
19980301 19980331    30.0
19980401 19980430    14.0
19980501 19980531     0.0
19980601 19980630     1.3
19980701 19980731    27.1
19980801 19980831     0.0
19980901 19980930    24.8
19981001 19981031    49.6
19981101 19981130   117.6
19981201 19981231   184.4
19990101 19990131   223.8
19990201 19990228   214.4
19990301 19990331    65.5
19990401 19990430    18.8
19990501 19990531     0.0
19990601 19990630     4.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    43.1
19991101 19991130   131.0
19991201 19991231   197.9
20000101 20000131   163.2
20000201 20000229   252.8
20000301 20000331   301.9
20000401 20000430   138.0
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031   120.0
20001101 20001130     7.0
20001201 20001231   132.7
20010101 20010131    34.1
20010201 20010228   480.4
20010301 20010331   262.7
20010401 20010430     0.2
20010501 20010531     0.0
20010601 20010630     0.0
20010701 20010731    26.9
20010801 20010831     0.2
20010901 20010930     1.2
20011001 20011031    10.7
20011101 20011130    69.1
20011201 20011231    70.2
20020101 20020131    63.4
20020201 20020228   331.4
20020301 20020331     9.6
20020401 20020430     0.8
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.2
20020901 20020930     0.0
20021001 20021031     3.4
20021101 20021130    20.0
20021201 20021231   107.2
20030101 20030131    94.5
20030201 20030228   211.6
20030301 20030331    10.0
20030401 20030430     0.0
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     2.0
20031001 20031031     9.0
20031101 20031130    50.8
20031201 20031231   136.8
20040101 20040131   147.4
20040201 20040229   372.0
20040301 20040331    26.6
20040401 20040430    46.0
20040501 20040531    55.0
20040601 20040630     0.0
20040701 20040731 99999.9
20040801 20040831 99999.9
20040901 20040930     0.0
20041001 20041031     0.0
20041101 20041130    86.5
20041201 20041231    34.0
20050101 20050131    93.6
20050201 20050228    45.0
20050301 20050331    21.5
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630     9.0
20050701 20050731     0.0
20050801 20050831     0.0
20050901 20050930     2.0
20051001 20051031     3.2
20051101 20051130    25.5
20051201 20051231   198.4
20060101 20060131   326.1
20060201 20060228    57.8
20060301 20060331    88.8
20060401 20060430    19.0
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731     0.0
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     8.1
20061101 20061130    19.2
